text,label
Scientists confirm new study on climate patterns published in Nature journal.,0
Local school board approves budget after public hearing.,0
NASA rover sends new images from Mars mission update.,0
BREAKING: Celebrity died twice and came back — government hiding truth!!!,1
Doctors HATE this one trick — cures all diseases overnight!,1
Secret alien base found under grocery store — share before deleted!,1
City council votes on park renovation funding next month.,0
They don't want you to know: vaccines contain microchips says anonymous post.,1
University researchers publish peer-reviewed paper on renewable energy.,0
SHOCKING: Drinking bleach daily makes you immune to everything!,1
Weather service forecasts rain for the weekend region.,0
Mainstream media won't report: moon is actually hollow warehouse.,1
