text,label
Your package has been delivered. Track at our official site.,0
Meeting rescheduled to 3pm tomorrow. See you then.,0
Mom called - dinner at 7.,0
URGENT! Your bank account will be SUSPENDED. Click http://bit.ly/fix now!,1
Congratulations! You won $5000! Claim your prize immediately!,1
Verify your PayPal within 24 hours or lose access: http://fake-pay.tk,1
Your OTP for login is 482910. Valid 5 minutes.,0
IRS refund pending. Confirm SSN and bank details at once.,1
Can you pick up milk on the way home?,0
FREE crypto giveaway - send wallet seed phrase to claim!!!,1
Reminder: dentist appointment Friday 10am.,0
Account locked!!! Update password NOW: http://secure-bank.ml/login,1
